Treatment,Cricket,combo,MWeight ,MSize,Gtime,Gweight,Gsize,DevRate,TestAge,WeightAfter,PT_D1_Time,PT_D2_Time,Day,Trial,TOTAL.T,TOTAL.T4,LogTOTAL.T,Complete,TE_ALL,T_tcP,T_tcDS,T_tcCS,T_tcS,NumTrials
Silent,S.04,RLRL,0.5728,39,13,0.249291167,0.114285714,0.076923077,12,0.75,76211,85303,1,0,30953,26413,4.490702748,1,0,5,0,0,0,5
Silent,S.04,RLRL,0.5728,39,13,0.249291167,0.114285714,0.076923077,12,0.75,76211,85303,2,0,300000,300000,5.477121255,0,1,4,1,0,1,
Silent,S.06,LLRR,0.4962,36,13,0.54483188,0.125,0.076923077,11,0.6371,49566,240000,1,0,156478,152048,5.194453287,1,6,22,3,3,6,7
Silent,S.12,LLRR,0.5997,39,14,0.647074979,0.147058824,0.071428571,12,0.7423,56498,75358,1,0,143451,136647,5.15670358,1,6,26,7,1,8,7
Silent,S.12,LLRR,0.5997,39,14,0.647074979,0.147058824,0.071428571,12,0.7423,56498,75358,2,0,194293,188657,5.288457154,1,8,35,4,4,8,
Silent,S.19,RRLL,0.5649,38,13,0.476476738,0.225806452,0.076923077,11,0.6679,85517,150322,1,0,72235,67607,4.858747677,1,2,8,3,0,3,7
Silent,S.19,RRLL,0.5649,38,13,0.476476738,0.225806452,0.076923077,11,0.6679,85517,150322,2,0,300000,300000,5.477121255,0,1,6,0,0,0,
Silent,S.20,RLRL,0.6952,40,15,0.500539607,0.081081081,0.066666667,11,0.8273,151562,240000,1,0,80156,78085,4.903936037,1,2,14,2,0,2,6
Silent,S.33,RLRL,0.5357,37,15,0.655438813,0.121212121,0.066666667,14,0.6642,116899,103615,1,0,280085,275457,5.447289851,1,5,26,2,0,2,7
Silent,S.33,RLRL,0.5357,37,15,0.655438813,0.121212121,0.066666667,14,0.6642,116899,103615,2,0,147671,144968,5.169295216,1,22,12,13,13,26,
Silent,S.34,LRLR,0.8466,43.5,13,0.74556701,0.175675676,0.076923077,14,0.9624,26625,64859,1,0,104652,102001,5.019747533,1,2,9,2,1,3,7
Silent,S.34,LRLR,0.8466,43.5,13,0.74556701,0.175675676,0.076923077,14,0.9624,26625,64859,2,0,300000,300000,5.477121255,0,16,24,3,3,6,
Silent,S.35,RLRL,0.5779,39,14,0.570807285,0.181818182,0.071428571,14,0.8114,76696,240000,1,0,173645,171465,5.239662283,1,15,52,6,5,11,7
Silent,S.37,RRLL,0.6561,42,13,0.481707317,0.135135135,0.076923077,13,0.9236,49216,UNK,1,0,82636,75485,4.917169287,1,3,12,1,1,2,7
Silent,S.37,RRLL,0.6561,42,13,0.481707317,0.135135135,0.076923077,13,0.9236,49216,UNK,2,0,227113,221451,5.356241994,1,7,31,4,0,4,
Silent,S.45,RRLL,0.6448,42,15,0.408167722,0.090909091,0.066666667,13,0.6394,60997,240000,1,0,300000,300000,5.477121255,0,4,17,4,2,6,7
Silent,S.49,RRLL,0.2815,29,14,0.711246201,0.137254902,0.071428571,12,0.3662,55208,53389,1,0,155501,152047,5.191733186,1,5,31,4,1,5,4
Silent,S.49,RRLL,0.2815,29,14,0.711246201,0.137254902,0.071428571,12,0.3662,55208,53389,2,0,137250,131859,5.137512353,1,2,21,1,0,1,
Silent,S.51,RLRL,0.6553,40,13,0.521123491,0.111111111,0.076923077,14,0.7883,53913,88561,1,0,300000,300000,5.477121255,0,2,19,11,4,15,7
Silent,S.51,RLRL,0.6553,40,13,0.521123491,0.111111111,0.076923077,14,0.7883,53913,88561,2,0,300000,300000,5.477121255,0,8,25,4,3,7,
Silent,S.52,LLRR,0.5311,35,13,0.627144608,0.129032258,0.076923077,14,0.6564,65586,108570,1,0,41860,35238,4.621799224,1,1,2,1,0,1,7
Silent,S.52,LLRR,0.5311,35,13,0.627144608,0.129032258,0.076923077,14,0.6564,65586,108570,2,0,58374,55742,4.766219454,1,2,6,1,3,4,
Silent,S.65,LLRR,0.516,36,14,0.562689279,0.107692308,0.071428571,12,0.5704,40725,240000,1,0,249123,245327,5.396413825,1,18,39,8,8,16,5
Silent,S.67,RLRL,0.7167,42,12,0.633690449,0.150684932,0.083333333,12,0.6373,77064,55992,1,0,300000,300000,5.477121255,0,2,19,2,0,2,7
Silent,S.67,RLRL,0.7167,42,12,0.633690449,0.150684932,0.083333333,12,0.6373,77064,55992,2,0,107481,100869,5.031331698,1,0,14,0,0,0,
Silent,S.69,RRLL,0.5183,36.5,14,0.438124306,0.140625,0.071428571,11,0.6463,67403,78703,1,0,53407,50617,4.727598183,1,1,12,1,1,2,7
Silent,S.69,RRLL,0.5183,36.5,14,0.438124306,0.140625,0.071428571,11,0.6463,67403,78703,2,0,89524,85567,4.951939479,1,3,13,2,2,4,
Silent,S.70,LLRR,0.5688,39,14,0.497630332,0.147058824,0.071428571,14,0.7642,45523,110296,1,0,186522,183756,5.270730064,1,16,34,13,7,20,6
Silent,S.70,LLRR,0.5688,39,14,0.497630332,0.147058824,0.071428571,14,0.7642,45523,110296,2,0,30298,27237,4.481413961,1,1,4,2,0,2,
Silent,S.75,RLRL,0.7899,42,14,0.64596791,0.135135135,0.071428571,12,0.9737,44321,61572,1,0,55796,53528,4.746603066,1,1,12,1,1,2,7
Silent,S.75,RLRL,0.7899,42,14,0.64596791,0.135135135,0.071428571,12,0.9737,44321,61572,2,0,300000,300000,5.477121255,0,10,33,2,7,9,
Calling,LV.06,RRLL,0.4108,34,19,0.450564972,0.096774194,0.052631579,14,0.4317,56286,100678,1,1,300000,300000,5.477121255,0,10,25,8,4,12,
Calling,LV.07,LLRR,0.5854,40,13,0.380660377,0.111111111,0.076923077,12,0.8091,48197,240000,1,1,236205,230152,5.373289087,1,1,27,2,0,2,
Calling,LV.08,LRLR,0.6811,41.5,15,0.536431311,0.152777778,0.066666667,12,0.8549,89697,35504,1,1,300000,300000,5.477121255,0,15,32,15,3,18,
Calling,LV.15,LRLR,0.5791,38,14,0.709268005,0.117647059,0.071428571,11,0.6611,65164,69711,1,1,239959,236229,5.380137043,1,5,21,7,4,11,
Calling,LV.16,RRLL,0.4499,34,16,0.516857721,0.096774194,0.0625,11,0.6259,56111,240000,1,1,88020,85418,4.944581364,1,5,16,0,2,2,
Calling,LV.26,RRLL,0.5783,39,12,0.626722925,0.147058824,0.083333333,14,0.7785,23595,240000,1,1,130990,127992,5.117238142,1,7,10,9,1,10,
Calling,LV.27,LLRR,0.599,38,15,0.845348121,0.1875,0.066666667,14,0.525,68998,240000,1,1,41932,30927,4.622545577,1,0,0,0,0,0,
Calling,LV.28,LRLR,0.614,41,14,0.600208496,0.138888889,0.071428571,14,0.566,58159,240000,1,1,300000,300000,5.477121255,0,12,19,11,12,23,
Calling,LV.36,LLRR,0.5983,38,11,0.290273884,0.085714286,0.090909091,14,0.8348,61733,61036,1,1,71149,68154,4.8521688,1,2,5,1,0,1,
Calling,LV.39,RRLL,0.7376,42,12,0.714950012,0.135135135,0.083333333,14,0.9205,140974,78703,1,1,47222,44371,4.674144377,1,2,5,0,0,0,
Calling,LV.40,LLRR,0.6174,40,13,0.734269663,0.111111111,0.076923077,14,0.8106,60178,49494,1,1,126619,124577,5.102498879,1,2,9,3,0,3,
Calling,LV.44,LLRR,0.704,42,14,0.645628799,0.135135135,0.071428571,12,0.8914,69080,60038,1,1,149582,141807,5.174879336,1,5,18,5,1,6,
Calling,LV.47,RRLL,0.6202,39,15,0.629104282,0.147058824,0.066666667,14,0.7762,99963,134670,1,1,133204,126809,5.124517267,1,4,10,1,0,1,
Calling,LV.49,RLRL,0.5277,37,13,0.467463849,0.121212121,0.076923077,14,0.7249,61156,41635,1,1,300000,300000,5.477121255,0,5,18,2,8,10,
Calling,LV.66,LRLR,0.6304,40.5,14,0.42366757,0.125,0.071428571,14,,118853,39726,1,1,84354,81154,4.926105681,1,2,15,9,1,10,
Calling,LV.68,RRLL,0.5987,41,14,0.593982961,0.138888889,0.071428571,13,0.6964,53383,240000,1,1,74940,72720,4.874713689,1,4,10,2,2,4,
Calling,LV.71,LLRR,0.5597,40,14,0.195429304,0.290322581,0.071428571,11,0.7522,14238,54773,1,1,285110,281099,5.45501245,1,17,34,15,13,28,
Calling,LV.72,RLRL,0.733,41.5,13,0.382497171,0.152777778,0.076923077,12,0.9803,23263,44614,1,1,164891,161951,5.217196952,1,8,20,0,2,2,
Calling,LV.74,LRLR,0.5885,39,14,0.656813063,0.147058824,0.071428571,12,0.7739,86249,62223,1,1,300000,300000,5.477121255,0,4,20,4,0,4,
Calling,LV.76,LLRR,0.5959,40,13,0.257438278,0.142857143,0.076923077,11,0.9018,30206,52043,1,1,300000,300000,5.477121255,0,23,29,11,17,28,
Silent,S.02,RRLL,0.7678,41,13,0.635008518,0.108108108,0.076923077,12,0.9539,63721,70534,1,1,281317,269256,5.449195977,1,2,17,13,0,13,
Silent,S.03,RLLR,0.5633,40,12,0.661651917,0.176470588,0.083333333,12,0.6084,67245,39205,1,1,54164,46593,4.733710729,1,1,6,0,0,0,
Silent,S.04,RLRL,0.5728,39,13,0.249291167,0.114285714,0.076923077,12,0.75,76211,85303,1,1,172891,165975,5.237772386,1,11,24,5,1,6,
Silent,S.06,LLRR,0.4962,36,13,0.54483188,0.125,0.076923077,11,0.6371,49566,240000,1,1,300000,300000,5.477121255,0,17,51,7,6,13,
Silent,S.12,LLRR,0.5997,39,14,0.647074979,0.147058824,0.071428571,12,0.7423,56498,75358,1,1,145116,137111,5.161715299,1,5,13,3,2,5,
Silent,S.19,RRLL,0.5649,38,13,0.476476738,0.225806452,0.076923077,11,0.6679,85517,150322,1,1,22596,19425,4.354031566,1,0,0,0,0,0,
Silent,S.20,RLRL,0.6952,40,15,0.500539607,0.081081081,0.066666667,11,0.8273,151562,240000,1,1,72921,69101,4.862852616,1,2,7,1,0,1,
Silent,S.33,RLRL,0.5357,37,15,0.655438813,0.121212121,0.066666667,14,0.6642,116899,103615,1,1,116764,113104,5.067308964,1,4,16,4,1,5,
Silent,S.34,LRLR,0.8466,43.5,13,0.74556701,0.175675676,0.076923077,14,0.9624,26625,64859,1,1,94351,91550,4.974746507,1,1,7,3,0,3,
Silent,S.35,RLRL,0.5779,39,14,0.570807285,0.181818182,0.071428571,14,0.8114,76696,240000,1,1,300000,300000,5.477121255,0,18,79,6,7,13,
Silent,S.37,RRLL,0.6561,42,13,0.481707317,0.135135135,0.076923077,13,0.9236,49216,UNK,1,1,44653,40912,4.649850642,1,1,7,0,0,0,
Silent,S.45,RRLL,0.6448,42,15,0.408167722,0.090909091,0.066666667,13,0.6394,60997,240000,1,1,59108,54988,4.771646265,1,1,10,0,0,0,
Silent,S.49,RRLL,0.2815,29,14,0.711246201,0.137254902,0.071428571,12,0.3662,55208,53389,1,1,107172,101951,5.030081335,1,4,4,1,0,1,
Silent,S.51,RLRL,0.6553,40,13,0.521123491,0.111111111,0.076923077,14,0.7883,53913,88561,1,1,258059,253513,5.41171901,1,1,12,10,0,10,
Silent,S.52,LLRR,0.5311,35,13,0.627144608,0.129032258,0.076923077,14,0.6564,65586,108570,1,1,32858,28267,4.516641125,1,0,5,0,0,0,
Silent,S.65,LLRR,0.516,36,14,0.562689279,0.107692308,0.071428571,12,0.5704,40725,240000,1,1,83901,81800,4.923767137,1,1,8,0,0,0,
Silent,S.67,RLRL,0.7167,42,12,0.633690449,0.150684932,0.083333333,12,0.6373,77064,55992,1,1,216262,213648,5.334980215,1,4,22,0,0,0,
Silent,S.69,RRLL,0.5183,36.5,14,0.438124306,0.140625,0.071428571,11,0.6463,67403,78703,1,1,102129,98769,5.00914908,1,4,18,6,0,6,
Silent,S.70,LLRR,0.5688,39,14,0.497630332,0.147058824,0.071428571,14,0.7642,45523,110296,1,1,40296,38116,4.605261938,1,1,8,1,0,1,
Silent,S.75,RLRL,0.7899,42,14,0.64596791,0.135135135,0.071428571,12,0.9737,44321,61572,1,1,300000,300000,5.477121255,0,16,37,4,14,18,
Calling,LV.06,RRLL,0.4108,34,19,0.450564972,0.096774194,0.052631579,14,0.4317,56286,100678,1,2,140383,135168,5.147314519,1,1,16,5,2,7,
Calling,LV.07,LLRR,0.5854,40,13,0.380660377,0.111111111,0.076923077,12,0.8091,48197,240000,1,2,300000,300000,5.477121255,0,3,17,4,1,5,
Calling,LV.08,LRLR,0.6811,41.5,15,0.536431311,0.152777778,0.066666667,12,0.8549,89697,35504,1,2,300000,300000,5.477121255,0,1,2,10,0,10,
Calling,LV.15,LRLR,0.5791,38,14,0.709268005,0.117647059,0.071428571,11,0.6611,65164,69711,1,2,39197,35276,4.593252829,1,0,5,0,0,0,
Calling,LV.16,RRLL,0.4499,34,16,0.516857721,0.096774194,0.0625,11,0.6259,56111,240000,1,2,52247,49114,4.718061358,1,1,3,2,0,2,
Calling,LV.26,RRLL,0.5783,39,12,0.626722925,0.147058824,0.083333333,14,0.7785,23595,240000,1,2,53896,51515,4.731556534,1,4,4,2,1,3,
Calling,LV.27,LLRR,0.599,38,15,0.845348121,0.1875,0.066666667,14,0.525,68998,240000,1,2,41668,38225,4.619802655,1,0,4,0,0,0,
Calling,LV.28,LRLR,0.614,41,14,0.600208496,0.138888889,0.071428571,14,0.566,58159,240000,1,2,197560,194523,5.295699017,1,4,20,7,2,9,
Calling,LV.36,LLRR,0.5983,38,11,0.290273884,0.085714286,0.090909091,14,0.8348,61733,61036,1,2,180595,175334,5.256705722,1,5,25,0,0,0,
Calling,LV.39,RRLL,0.7376,42,12,0.714950012,0.135135135,0.083333333,14,0.9205,140974,78703,1,2,49588,46967,4.695376593,1,4,7,3,1,4,
Calling,LV.40,LLRR,0.6174,40,13,0.734269663,0.111111111,0.076923077,14,0.8106,60178,49494,1,2,55030,51019,4.740599513,1,2,5,2,1,3,
Calling,LV.44,LLRR,0.704,42,14,0.645628799,0.135135135,0.071428571,12,0.8914,69080,60038,1,2,300000,300000,5.477121255,0,19,47,12,5,17,
Calling,LV.47,RRLL,0.6202,39,15,0.629104282,0.147058824,0.066666667,14,0.7762,99963,134670,1,2,159562,151481,5.202929471,1,5,15,1,0,1,
Calling,LV.49,RLRL,0.5277,37,13,0.467463849,0.121212121,0.076923077,14,0.7249,61156,41635,1,2,300000,300000,5.477121255,0,1,1,0,0,0,
Calling,LV.66,LRLR,0.6304,40.5,14,0.42366757,0.125,0.071428571,14,,118853,39726,1,2,46894,45011,4.671117279,1,1,5,0,0,0,
Calling,LV.68,RRLL,0.5987,41,14,0.593982961,0.138888889,0.071428571,13,0.6964,53383,240000,1,2,132589,130064,5.122507495,1,7,16,3,3,6,
Calling,LV.71,LLRR,0.5597,40,14,0.195429304,0.290322581,0.071428571,11,0.7522,14238,54773,1,2,181742,179719,5.259455303,1,5,11,8,0,8,
Calling,LV.72,RLRL,0.733,41.5,13,0.382497171,0.152777778,0.076923077,12,0.9803,23263,44614,1,2,300000,300000,5.477121255,0,1,1,0,0,0,
Calling,LV.74,LRLR,0.5885,39,14,0.656813063,0.147058824,0.071428571,12,0.7739,86249,62223,1,2,300000,300000,5.477121255,0,1,8,3,0,3,
Calling,LV.76,LLRR,0.5959,40,13,0.257438278,0.142857143,0.076923077,11,0.9018,30206,52043,1,2,150946,146670,5.178821609,1,14,14,10,2,12,
Silent,S.02,RRLL,0.7678,41,13,0.635008518,0.108108108,0.076923077,12,0.9539,63721,70534,1,2,119003,102696,5.07555791,1,2,15,1,0,1,
Silent,S.03,RLLR,0.5633,40,12,0.661651917,0.176470588,0.083333333,12,0.6084,67245,39205,1,2,44215,37158,4.645569629,1,0,4,0,0,0,
Silent,S.04,RLRL,0.5728,39,13,0.249291167,0.114285714,0.076923077,12,0.75,76211,85303,1,2,300000,300000,5.477121255,0,24,37,11,2,13,
Silent,S.06,LLRR,0.4962,36,13,0.54483188,0.125,0.076923077,11,0.6371,49566,240000,1,2,308709,308709,5.489549291,1,13,48,11,9,20,
Silent,S.12,LLRR,0.5997,39,14,0.647074979,0.147058824,0.071428571,12,0.7423,56498,75358,1,2,37208,32029,4.570636327,1,1,3,0,0,0,
Silent,S.19,RRLL,0.5649,38,13,0.476476738,0.225806452,0.076923077,11,0.6679,85517,150322,1,2,100249,95678,5.001080049,1,2,14,2,0,2,
Silent,S.20,RLRL,0.6952,40,15,0.500539607,0.081081081,0.066666667,11,0.8273,151562,240000,1,2,67313,64323,4.828098947,1,1,6,1,0,1,
Silent,S.33,RLRL,0.5357,37,15,0.655438813,0.121212121,0.066666667,14,0.6642,116899,103615,1,2,300000,300000,5.477121255,0,23,40,9,12,21,
Silent,S.34,LRLR,0.8466,43.5,13,0.74556701,0.175675676,0.076923077,14,0.9624,26625,64859,1,2,300000,300000,5.477121255,0,1,7,0,1,1,
Silent,S.35,RLRL,0.5779,39,14,0.570807285,0.181818182,0.071428571,14,0.8114,76696,240000,1,2,141701,139681,5.151372915,1,4,27,7,2,9,
Silent,S.37,RRLL,0.6561,42,13,0.481707317,0.135135135,0.076923077,13,0.9236,49216,UNK,1,2,256140,251968,5.408477405,1,14,33,6,3,9,
Silent,S.45,RRLL,0.6448,42,15,0.408167722,0.090909091,0.066666667,13,0.6394,60997,240000,1,2,300000,300000,5.477121255,0,5,13,1,0,1,
Silent,S.49,RRLL,0.2815,29,14,0.711246201,0.137254902,0.071428571,12,0.3662,55208,53389,1,2,47860,43290,4.679972694,1,0,9,0,0,0,
Silent,S.51,RLRL,0.6553,40,13,0.521123491,0.111111111,0.076923077,14,0.7883,53913,88561,1,2,300000,300000,5.477121255,0,5,17,6,5,11,
Silent,S.52,LLRR,0.5311,35,13,0.627144608,0.129032258,0.076923077,14,0.6564,Tot,108570,1,2,157563,153142,5.197454241,1,4,17,4,2,6,
Silent,S.65,LLRR,0.516,36,14,0.562689279,0.107692308,0.071428571,12,0.5704,40725,240000,1,2,292574,285951,5.466235729,1,9,32,1,2,3,
Silent,S.67,RLRL,0.7167,42,12,0.633690449,0.150684932,0.083333333,12,0.6373,77064,55992,1,2,81373,76011,4.910480328,1,2,11,0,1,1,
Silent,S.69,RRLL,0.5183,36.5,14,0.438124306,0.140625,0.071428571,11,0.6463,67403,78703,1,2,300000,300000,5.477121255,0,0,1,0,0,0,
Silent,S.70,LLRR,0.5688,39,14,0.497630332,0.147058824,0.071428571,14,0.7642,45523,110296,1,2,64575,61615,4.810064415,1,4,12,1,1,2,
Silent,S.75,RLRL,0.7899,42,14,0.64596791,0.135135135,0.071428571,12,0.9737,44321,61572,1,2,300000,300000,5.477121255,0,22,30,11,18,29,
Calling,LV.06,RRLL,0.4108,34,19,0.450564972,0.096774194,0.052631579,14,0.4317,56286,100678,1,3,147746,140645,5.169515732,1,3,15,5,0,5,
Calling,LV.07,LLRR,0.5854,40,13,0.380660377,0.111111111,0.076923077,12,0.8091,48197,240000,1,3,300000,300000,5.477121255,0,8,16,8,2,10,
Calling,LV.08,LRLR,0.6811,41.5,15,0.536431311,0.152777778,0.066666667,12,0.8549,89697,35504,1,3,49256,42536,4.692459141,1,1,5,1,0,1,
Calling,LV.15,LRLR,0.5791,38,14,0.709268005,0.117647059,0.071428571,11,0.6611,65164,69711,1,3,300000,300000,5.477121255,0,3,5,0,0,0,
Calling,LV.16,RRLL,0.4499,34,16,0.516857721,0.096774194,0.0625,11,0.6259,56111,240000,1,3,43316,39728,4.636648345,1,1,4,1,1,2,
Calling,LV.26,RRLL,0.5783,39,12,0.626722925,0.147058824,0.083333333,14,0.7785,23595,240000,1,3,255980,253609,5.408206035,1,20,28,13,10,23,
Calling,LV.28,LRLR,0.614,41,14,0.600208496,0.138888889,0.071428571,14,0.566,58159,240000,1,3,111571,109295,5.047551326,1,4,7,4,1,5,
